source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q37766220,Jan Broeckaert,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q1334711,Emmanuel Hiel,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),lid,1886-07-08T00:00:00Z,1899-11-27T00:00:00Z,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2617184,Karel De Flou,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q56036067,Lodewijk Willem Schuermans,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q13769746,Lodewijk Scharpé,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q719358,Theophiel Coopman,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q28973666,Lodewijk Roersch,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q29019503,Willem De Vreese,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2457997,Constant Hansen,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q15461013,Frans De Potter,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q981444,Hugo Verriest,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2099446,Amaat Joos,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2065109,Ferdinand Vanderhaeghen,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2360914,Edward Gailliard,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q3557112,Victor Alexis dela Montagne,Onderlinge Correspondentie (Source → Target),lid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q329468,Jan Nolet de Brauwere van Steeland,Onderlinge Correspondentie (Source → Target),lid,,,
